007 Legends~Eurocom~2012-10-16NA~Unreleased~October 19, 2012~October 16, 2012~Yes~[3]
007: Quantum of Solace~Treyarch~2008-10-31EU~Unreleased~October 31, 2008~November 4, 2008~Yes~[4]
2010 FIFA World Cup South Africa~EA Canada~2010-04-27NA~May 13, 2010~April 30, 2010~April 27, 2010~Yes~[5]
2014 FIFA World Cup Brazil~EA Canada~2014-04-21NA~April 23, 2014~April 20, 2014~April 17, 2014~Yes~[6]
2nd Super Robot Wars Original Generation~Banpresto~2012-11-29JP~November 29, 2012~Unreleased~Unreleased~Yes~[7]
3D Dot Game Heroes~Silicon Studio~2009-11-05JP~November 5, 2009~May 14, 2010~May 11, 2010~Yes~[8]
428: In a Blockaded Shibuya~Chunsoft~2009-09-03JP~September 3, 2009~Unreleased~Unreleased~Yes~[9]
50 Cent: Blood on the Sand~Swordfish Studios~2009-02-20EU~July 23, 2009~February 20, 2009~February 24, 2009~Yes~[10]
Absolute Supercars~Eutechnyx~2012-11-06NA~Unreleased~November 6, 2012~November 6, 2012~No~[11]
AC/DC Live: Rock Band Track Pack~Harmonix Music Systems~2008-11-18NA~Unreleased~April 19, 2009~November 18, 2008~No~[12]
Ace Combat: Assault Horizon~Namco~2011-10-11NA~October 13, 2011~October 14, 2011~October 11, 2011~Yes~[13]
Adidas miCoach~Lightning Fish~2012-07-13NA~Unreleased~July 24, 2012~July 13, 2012~Yes~[14]
Adam's Venture Chronicles~Vertigo Games~2014-02-04NA~Unreleased~February 4, 2014~February 4, 2014~Yes~[15]
The Adventures of Tintin: The Secret of the Unicorn~Ubisoft Montpellier~2011-10-21EU~Unreleased~October 21, 2011~December 6, 2011~Yes~[16]
Adventure Time: Explore the Dungeon Because I Don't Know!~WayForward Technologies~2013-11-14AU~Unreleased~November 14, 2013AU November 15, 2013EU~November 19, 2013~Yes~[17]
Adventure Time: Finn & Jake Investigations~Vicious Cycle Software~2015-08-20NA~Unreleased~November 6, 2015~August 20, 2015~Yes~[18]
Adventure Time: The Secret of the Nameless Kingdom~WayForward Technologies~2014-11-18WW~November 18, 2014~November 18, 2014~November 18, 2014~Yes~[19]
Aegis of Earth: Protonovus Assault~Acquire~2015-07-02JP~July 2, 2015~April 22, 2016~March 15, 2016~Yes~[20]
AFL Live~Big Ant Studios~2011-04-21AU~Unreleased~April 21, 2011AU~Unreleased~Yes~[21]
AFL Live 2~Wicked Witch Software~2013-09-12AU~Unreleased~September 12, 2013AU~Unreleased~Yes~[22]
Afrika~Rhino Studios~2008-08-28JP~August 28, 2008~Unreleased~October 13, 2009~Yes~[23][24]
Afro Samurai~Namco Bandai~2009-01-27NA~Unreleased~March 27, 2009~January 27, 2009~No~[25]
After Hours Athletes~XDev~2011-11-17AU~Unreleased~November 18, 2011~Unreleased~Yes~[26]
Air Conflicts: Pacific Carriers~Games Farm~2012-09-26AU~Unreleased~December 7, 2012~August 6, 2013~Yes~[27]
Air Conflicts: Secret Wars~Games Farm~2011-07-08EU~Unreleased~July 8, 2011~November 15, 2011~Yes~[28]
Air Conflicts: Vietnam~Games Farm~2013-09-12JP~September 12, 2013~October 18, 2013~(Download-only)~Yes~[29]
Akatsuki no Goei Trinity~M2~2012-09-20JP~September 20, 2012~Unreleased~Unreleased~Yes~[30]
AKB1/149 Ren'ai Sōsenkyo~Namco Bandai Games~2013-09-12JP~September 12, 2013~Unreleased~Unreleased~Yes~[31]
Akiba's Trip: Undead & Undressed~Acquire / XSEED / NIS America~2013-11-07JP~November 7, 2013~October 10, 2014~August 12, 2014~Yes~[32]
Alarm für Cobra 11: Das Syndikat~Synetic~2011-11-18EU~Unreleased~November 18, 2011~Unreleased~Yes~[33]
Alarm für Cobra 11: Undercover~Synetic~2012-09-28EU~Unreleased~Unreleased~September 28, 2012~Yes~[34]
Alice: Madness Returns~Spicy Horse~2011-06-14NA~July 21, 2011~June 16, 2011~June 14, 2011~Yes~[35]
Aliens: Colonial Marines~Gearbox Software~2013-02-12WW~Unreleased~February 12, 2013~February 12, 2013~Yes~[36]
Alien: Isolation~Creative Assembly~2014-10-07NA, EU~Unreleased~October 7, 2014~October 7, 2014~Yes~[37]
Aliens vs. Predator~Rebellion Developments~2010-02-16NA~Unreleased~February 19, 2010~February 16, 2010~Yes~[38]
